"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"AR3E016","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 30 en produit de facteurs premiers.","2 × 3 × 5","2 × 15|3 × 10|5 × 6","","flash;arithmetique;decomposition","à valider","fr"
"AR3E017","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 42 en produit de facteurs premiers.","2 × 3 × 7","6 × 7|2 × 21|3 × 14","","flash;arithmetique;decomposition","à valider","fr"
"AR3E018","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 60 en produit de facteurs premiers.","2 × 2 × 3 × 5","2 × 30|3 × 20|4 × 15","","flash;arithmetique;decomposition","à valider","fr"
"AR3E019","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 84 en produit de facteurs premiers.","2 × 2 × 3 × 7","2 × 42|3 × 28|4 × 21","","flash;arithmetique;decomposition","à valider","fr"
"AR3E020","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 105 en produit de facteurs premiers.","3 × 5 × 7","5 × 21|3 × 35|7 × 15","","flash;arithmetique;decomposition","à valider","fr"
"AR3E021","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 72 en produit de facteurs premiers.","2 × 2 × 2 × 3 × 3","2 × 36|3 × 24|4 × 18","","flash;arithmetique;decomposition","à valider","fr"
"AR3E022","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 90 en produit de facteurs premiers.","2 × 3 × 3 × 5","2 × 45|3 × 30|5 × 18","","flash;arithmetique;decomposition","à valider","fr"
"AR3E023","3e","arithmetique","decomposition","calcul","QCM","2","40","Décomposer 100 en produit de facteurs premiers.","2 × 2 × 5 × 5","2 × 50|4 × 25|5 × 20","","flash;arithmetique;decomposition","à valider","fr"
"AR3E001","3e","arithmetique","divisibilité","calcul","QCM","1","30","Le nombre 42 est-il divisible par 3 ?","Oui","Non|Seulement par 2|Seulement par 7","","flash;arithmetique;divisibilite","à valider","fr"
"AR3E002","3e","arithmetique","divisibilité","calcul","QCM","1","30","Le nombre 75 est-il divisible par 5 ?","Oui","Non|Seulement par 3|Seulement par 15","","flash;arithmetique;divisibilite","à valider","fr"
"AR3E003","3e","arithmetique","PGCD","calcul","QCM","2","40","Quel est le PGCD de 18 et 24 ?","6","3|12|9","","flash;arithmetique;pgcd","à valider","fr"
"AR3E005","3e","arithmetique","premiers","calcul","QCM","2","35","Le nombre 17 est-il premier ?","Oui","Non|Seulement divisible par 2|Seulement divisible par 3","","flash;arithmetique;premier","à valider","fr"
"AR3E006","3e","arithmetique","divisibilité","calcul","QCM","1","30","Le nombre 100 est-il divisible par 4 ?","Oui","Non|Seulement par 2|Seulement par 5","","flash;arithmetique;divisibilite","à valider","fr"
"AR3E007","3e","arithmetique","PGCD","calcul","QCM","2","40","Quel est le PGCD de 21 et 35 ?","7","3|5|14","","flash;arithmetique;pgcd","à valider","fr"
"AR3E009","3e","arithmetique","premiers","calcul","QCM","2","35","Le nombre 51 est-il premier ?","Non","Oui|Seulement divisible par 3|Seulement divisible par 17","","flash;arithmetique;premier","à valider","fr"
"AR3E010","3e","arithmetique","divisibilité","calcul","QCM","1","30","Le nombre 64 est-il divisible par 8 ?","Oui","Non|Seulement par 2|Seulement par 4","","flash;arithmetique;divisibilite","à valider","fr"
"AR3E011","3e","arithmetique","PGCD","calcul","QCM","2","40","Quel est le PGCD de 32 et 48 ?","16","8|24|32","","flash;arithmetique;pgcd","à valider","fr"
"AR3E013","3e","arithmetique","premiers","calcul","QCM","2","35","Le nombre 29 est-il premier ?","Oui","Non|Seulement divisible par 2|Seulement divisible par 5","","flash;arithmetique;premier","à valider","fr"
"AR3E014","3e","arithmetique","divisibilité","calcul","QCM","1","30","Le nombre 81 est-il divisible par 9 ?","Oui","Non|Seulement par 3|Seulement par 27","","flash;arithmetique;divisibilite","à valider","fr"
"AR3E015","3e","arithmetique","PGCD","calcul","QCM","2","40","Quel est le PGCD de 45 et 60 ?","15","5|10|20","","flash;arithmetique;pgcd","à valider","fr"
