"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"NR4E001","4e","nombres_relatifs","addition_soustraction","calcul_simple","QCM","1","30","Calculer : (+7) + (+3)","10","13|4|-10","","flash;nombres_relatifs;addition_positifs","validé","fr"
"NR4E002","4e","nombres_relatifs","addition_soustraction","calcul_simple","QCM","1","30","Calculer : (-5) + (-8)","-13","13|-3|3","","flash;nombres_relatifs;addition_negatifs","validé","fr"
"NR4E003","4e","nombres_relatifs","addition_soustraction","calcul_simple","QCM","1","30","Calculer : (+9) + (-4)","5","13|-5|-13","","flash;nombres_relatifs;addition_signes_opposes","validé","fr"
"NR4E004","4e","nombres_relatifs","addition_soustraction","calcul_simple","QCM","1","30","Calculer : (-12) + (+7)","-5","5|19|-19","","flash;nombres_relatifs;addition_signes_opposes","validé","fr"
"NR4E005","4e","nombres_relatifs","addition_soustraction","soustraction","QCM","2","45","Calculer : (+6) - (+10)","-4","4|16|-16","","flash;nombres_relatifs;soustraction_positifs","validé","fr"
"NR4E006","4e","nombres_relatifs","addition_soustraction","soustraction","QCM","2","45","Calculer : (-8) - (-3)","-5","5|11|-11","","flash;nombres_relatifs;soustraction_negatifs","validé","fr"
"NR4E007","4e","nombres_relatifs","addition_soustraction","soustraction","QCM","2","45","Calculer : (+15) - (-7)","22","8|-8|-22","","flash;nombres_relatifs;soustraction_oppose","validé","fr"
"NR4E008","4e","nombres_relatifs","addition_soustraction","soustraction","QCM","2","45","Calculer : (-9) - (+12)","-21","21|3|-3","","flash;nombres_relatifs;soustraction_mixte","validé","fr"
"NR4E009","4e","nombres_relatifs","addition_soustraction","expression","QCM","2","60","Calculer : 5 - 8 + 3","0","10|-10|16","","flash;nombres_relatifs;expression_simple","validé","fr"
"NR4E010","4e","nombres_relatifs","addition_soustraction","expression","QCM","2","60","Calculer : -7 + 12 - 6","-1","1|11|-11","","flash;nombres_relatifs;expression_mixte","validé","fr"
"NR4E011","4e","nombres_relatifs","addition_soustraction","parentheses","QCM","2","60","Calculer : 8 - (3 + 5)","0","10|16|-8","","flash;nombres_relatifs;parentheses_addition","validé","fr"
"NR4E012","4e","nombres_relatifs","addition_soustraction","parentheses","QCM","2","60","Calculer : -4 - (7 - 12)","1","-1|11|-11","","flash;nombres_relatifs;parentheses_soustraction","validé","fr"
"NR4E013","4e","nombres_relatifs","addition_soustraction","decimaux","QCM","2","45","Calculer : (+3,5) + (-1,8)","1,7","5,3|-1,7|-5,3","","flash;nombres_relatifs;decimaux_addition","validé","fr"
"NR4E014","4e","nombres_relatifs","addition_soustraction","decimaux","QCM","2","45","Calculer : (-2,6) - (+4,1)","-6,7","6,7|1,5|-1,5","","flash;nombres_relatifs;decimaux_soustraction","validé","fr"
"NR4E015","4e","nombres_relatifs","addition_soustraction","expression_longue","QCM","3","90","Calculer : 12 - 8 + 5 - 9","0","10|-10|4","","flash;nombres_relatifs;expression_longue","validé","fr"
"NR4E016","4e","nombres_relatifs","addition_soustraction","expression_longue","QCM","3","90","Calculer : -6 + 15 - 7 + 2","4","-4|14|-14","","flash;nombres_relatifs;expression_longue_mixte","validé","fr"
"NR4E017","4e","nombres_relatifs","addition_soustraction","parentheses_complexes","QCM","3","90","Calculer : 10 - (3 - 8) + 5","20","0|8|-8","","flash;nombres_relatifs;parentheses_complexes","validé","fr"
"NR4E018","4e","nombres_relatifs","addition_soustraction","parentheses_complexes","QCM","3","90","Calculer : -(5 + 7) - (12 - 9)","-15","15|9|-9","","flash;nombres_relatifs;double_parentheses","validé","fr"
"NR4E019","4e","nombres_relatifs","addition_soustraction","fractions","QCM","3","90","Calculer : (+1/2) + (-3/4)","-1/4","1/4|5/4|-5/4","","flash;nombres_relatifs;fractions_addition","validé","fr"
"NR4E020","4e","nombres_relatifs","addition_soustraction","fractions","QCM","3","90","Calculer : (-2/3) - (+1/6)","-5/6","5/6|-1/2|1/2","","flash;nombres_relatifs;fractions_soustraction","validé","fr"
