"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"NRE4E001","4e","nombres_relatifs","enchainement","priorites_simples","QCM","2","60","Calculer : 3 + 5 × (-2)","7","-7|13|-13","","flash;nombres_relatifs;priorites_multiplication","validé","fr"
"NRE4E002","4e","nombres_relatifs","enchainement","priorites_simples","QCM","2","60","Calculer : (-4) × 2 + 8","0","16|-16|12","","flash;nombres_relatifs;priorites_addition","validé","fr"
"NRE4E003","4e","nombres_relatifs","enchainement","priorites_simples","QCM","2","60","Calculer : 12 ÷ (-3) + 5","1","-1|9|-9","","flash;nombres_relatifs;priorites_division","validé","fr"
"NRE4E004","4e","nombres_relatifs","enchainement","priorites_simples","QCM","2","60","Calculer : 7 - (-2) × 3","13","-13|1|-1","","flash;nombres_relatifs;priorites_soustraction","validé","fr"
"NRE4E005","4e","nombres_relatifs","enchainement","parentheses","QCM","2","75","Calculer : (5 - 8) × (-3)","9","-9|21|-21","","flash;nombres_relatifs;parentheses_prioritaires","validé","fr"
"NRE4E006","4e","nombres_relatifs","enchainement","parentheses","QCM","2","75","Calculer : (-6 + 2) ÷ (-2)","2","-2|4|-4","","flash;nombres_relatifs;parentheses_division","validé","fr"
"NRE4E007","4e","nombres_relatifs","enchainement","parentheses","QCM","3","90","Calculer : 4 × (7 - 12) + 6","-14","14|26|-26","","flash;nombres_relatifs;parentheses_mixtes","validé","fr"
"NRE4E008","4e","nombres_relatifs","enchainement","parentheses","QCM","3","90","Calculer : (9 - 15) ÷ 2 - 4","-7","7|1|-1","","flash;nombres_relatifs;parentheses_complexes","validé","fr"
"NRE4E009","4e","nombres_relatifs","enchainement","double_parentheses","QCM","3","120","Calculer : (3 - 7) × (5 + 2)","-28","28|12|-12","","flash;nombres_relatifs;double_parentheses","validé","fr"
"NRE4E010","4e","nombres_relatifs","enchainement","double_parentheses","QCM","3","120","Calculer : (8 - 12) ÷ (6 - 8)","2","-2|4|-4","","flash;nombres_relatifs;double_parentheses_division","validé","fr"
"NRE4E011","4e","nombres_relatifs","enchainement","puissances","QCM","3","90","Calculer : (-3)² - 4 × 2","1","-1|17|-17","","flash;nombres_relatifs;puissances_priorites","validé","fr"
"NRE4E012","4e","nombres_relatifs","enchainement","puissances","QCM","3","90","Calculer : 5 + (-2)³ × 3","-19","19|11|-11","","flash;nombres_relatifs;puissances_multiplication","validé","fr"
"NRE4E013","4e","nombres_relatifs","enchainement","fractions","QCM","3","120","Calculer : 1/2 + 3 × (-1/4)","8/4","1/4|-1/4|5/4","","flash;nombres_relatifs;fractions_priorites","validé","fr"
"NRE4E014","4e","nombres_relatifs","enchainement","fractions","QCM","3","120","Calculer : (-2/3) × 6 + 1/2","-7/2","7/2|5/2|-5/2","","flash;nombres_relatifs;fractions_mixtes","validé","fr"
"NRE4E015","4e","nombres_relatifs","enchainement","distributivite","QCM","3","120","Calculer : -2 × (3 - 7) + 5","13","-13|3|-3","","flash;nombres_relatifs;distributivite_enchainement","validé","fr"
"NRE4E016","4e","nombres_relatifs","enchainement","distributivite","QCM","3","120","Calculer : 4 × (-5 + 8) - 6","6","-6|18|-18","","flash;nombres_relatifs;distributivite_soustraction","validé","fr"
"NRE4E017","4e","nombres_relatifs","enchainement","complexe","QCM","4","150","Calculer : 8 - 3 × (2 - 6) ÷ (-2)","2","-2|14|-14","","flash;nombres_relatifs;expression_complexe","validé","fr"
"NRE4E018","4e","nombres_relatifs","enchainement","complexe","QCM","4","150","Calculer : (-5 + 3)² - 4 × (-2)","-12","12|0|8","","flash;nombres_relatifs;carre_enchainement","validé","fr"
"NRE4E019","4e","nombres_relatifs","enchainement","tres_complexe","QCM","4","180","Calculer : -3 × [(4 - 7) × 2] + 5","23","-23|13|-13","","flash;nombres_relatifs;crochets","validé","fr"
"NRE4E020","4e","nombres_relatifs","enchainement","tres_complexe","QCM","4","180","Calculer : 6 ÷ (-2) + [5 × (-1 + 4)]","12","-12|18|-18","","flash;nombres_relatifs;crochets_division","validé","fr"
