uid,level,topic,subtopic,skill,format,difficulty,time_s,stem_tex,answer_tex,distractors_tex,figure_url,tags,status,language
FR5EAS001,5e,fractions,addition_soustraction,denominateur_commun,QCM,1,40,Calculer : \frac{3}{8} + \frac{2}{8},\frac{5}{8},\frac{1}{8}|\frac{6}{8}|\frac{5}{16},,flash;fractions;add_same,validé,fr
FR5EAS002,5e,fractions,addition_soustraction,denominateur_commun,QCM,1,40,Calculer : \frac{5}{7} - \frac{2}{7},\frac{3}{7},\frac{7}{5}|\frac{2}{5}|\frac{5}{9},,flash;fractions;sous_same,validé,fr
FR5EAS003,5e,fractions,addition_soustraction,denominateurs_multiples,QCM,1,50,Calculer : \frac{1}{4} + \frac{1}{2},\frac{3}{4},\frac{2}{6}|\frac{2}{4}|\frac{1}{6},,flash;fractions;add_multiple,validé,fr
FR5EAS004,5e,fractions,addition_soustraction,denominateurs_multiples,QCM,1,50,Calculer : \frac{3}{5} - \frac{1}{10},\frac{1}{2},\frac{2}{5}|\frac{1}{5}|\frac{4}{5},,flash;fractions;sous_multiple,validé,fr
FR5EAS005,5e,fractions,addition_soustraction,denominateurs_differents,QCM,2,60,Calculer : \frac{2}{3} + \frac{1}{6},\frac{5}{6},\frac{3}{9}|\frac{3}{6}|\frac{7}{6},,flash;fractions;add_diff,validé,fr
FR5EAS006,5e,fractions,addition_soustraction,denominateurs_differents,QCM,2,60,Calculer : \frac{5}{12} + \frac{1}{3},\frac{3}{4},\frac{6}{15}|\frac{2}{5}|\frac{5}{15},,flash;fractions;add_diff,validé,fr
FR5EAS007,5e,fractions,addition_soustraction,denominateurs_differents,QCM,2,60,Calculer : \frac{7}{8} - \frac{1}{4},\frac{5}{8},\frac{6}{8}|\frac{3}{4}|\frac{7}{12},,flash;fractions;sous_diff,validé,fr
FR5EAS008,5e,fractions,addition_soustraction,simplification_finale,QCM,2,70,Calculer et simplifier : \frac{2}{6} + \frac{1}{6},\frac{1}{2},\frac{3}{6}|\frac{2}{7}|\frac{1}{3},,flash;fractions;add_simplify,validé,fr
FR5EAS009,5e,fractions,addition_soustraction,simplification_finale,QCM,2,70,Calculer et simplifier : \frac{3}{9} + \frac{2}{9},\frac{5}{9},\frac{5}{18}|\frac{1}{3}|\frac{7}{9},,flash;fractions;add_simplify,validé,fr
FR5EAS010,5e,fractions,addition_soustraction,impropre,QCM,3,80,Calculer : \frac{7}{6} + \frac{5}{6},2,\frac{12}{6}|\frac{11}{6}| \frac{15}{6},,flash;fractions;add_improper,validé,fr
FR5EAS011,5e,fractions,addition_soustraction,impropre,QCM,3,80,Calculer : \frac{9}{8} - \frac{5}{8},\frac{1}{2},\frac{3}{8}|\frac{4}{8}|\frac{2}{8},,flash;fractions;sous_improper,validé,fr
FR5EAS012,5e,fractions,addition_soustraction,mixed_number,QCM,3,90,Calculer : 1 + \frac{3}{5},\frac{8}{5},\frac{4}{5}|\frac{6}{5}|\frac{5}{8},,flash;fractions;add_entier_fraction,validé,fr
FR5EAS013,5e,fractions,addition_soustraction,mixed_number,QCM,3,90,Calculer : 2 - \frac{3}{4},\frac{5}{4},\frac{1}{4}|\frac{7}{4}|\frac{3}{4},,flash;fractions;sous_entier_fraction,validé,fr
FR5EAS014,5e,fractions,addition_soustraction,expression,QCM,3,90,Calculer : \frac{1}{2} + \frac{1}{3} - \frac{1}{6},\frac{2}{3},\frac{1}{3}|\frac{5}{6}|\frac{3}{4},,flash;fractions;add_expression,validé,fr
FR5EAS015,5e,fractions,addition_soustraction,piege,QCM,3,90,Calculer : \frac{1}{5} + \frac{2}{10},\frac{2}{5},\frac{3}{15}|\frac{3}{10}|\frac{1}{7},,flash;fractions;add_equivalent,validé,fr
