uid,level,topic,subtopic,skill,format,difficulty,time_s,stem_tex,answer_tex,distractors_tex,figure_url,tags,status,language
FR5EEN001,5e,fractions,enchaînements,parentheses_simple,QCM,2,70,Calculer : (\frac{1}{2} + \frac{1}{4}),\frac{3}{4},\frac{1}{3}|\frac{2}{4}|\frac{5}{8},,flash;fractions;par_simple,validé,fr
FR5EEN002,5e,fractions,enchaînements,parentheses_simple,QCM,2,70,Calculer : (\frac{3}{5} - \frac{1}{10}),\frac{1}{2},\frac{2}{5}|\frac{3}{10}|\frac{4}{5},,flash;fractions;par_simple,validé,fr
FR5EEN003,5e,fractions,enchaînements,double_operation,QCM,2,80,Calculer : \frac{1}{3} + \frac{1}{6} - \frac{1}{2},0,\frac{1}{6}|\frac{-1}{6}|\frac{1}{3},,flash;fractions;double_op,validé,fr
FR5EEN004,5e,fractions,enchaînements,double_operation,QCM,2,80,Calculer : \frac{3}{4} - \frac{1}{8} + \frac{1}{2},\frac{9}{8},\frac{7}{8}|\frac{5}{8}|\frac{3}{8},,flash;fractions;double_op,validé,fr
FR5EEN005,5e,fractions,enchaînements,multiplication_addition,QCM,3,90,Calculer : \frac{2}{3} + (\frac{1}{2} × \frac{3}{4}),\frac{11}{12},\frac{5}{6}|\frac{1}{3}|\frac{7}{12},,flash;fractions;mixte_mult,validé,fr
FR5EEN006,5e,fractions,enchaînements,multiplication_soustraction,QCM,3,90,Calculer : \frac{5}{6} - (\frac{1}{3} × \frac{1}{2}),\frac{2}{3},\frac{1}{2}|\frac{3}{6}|\frac{5}{9},,flash;fractions;mixte_mult,validé,fr
FR5EEN007,5e,fractions,enchaînements,trois_termes,QCM,3,90,Calculer : \frac{1}{2} + \frac{1}{3} + \frac{1}{6},1,\frac{5}{6}|\frac{2}{3}|\frac{7}{6},,flash;fractions;trois_termes,validé,fr
FR5EEN008,5e,fractions,enchaînements,parentheses_doubles,QCM,3,100,Calculer : (\frac{1}{2} + \frac{1}{4}) - (\frac{1}{8}),\frac{5}{8},\frac{3}{4}|\frac{1}{2}|\frac{7}{8},,flash;fractions;par_doubles,validé,fr
FR5EEN009,5e,fractions,enchaînements,parentheses_doubles,QCM,3,100,Calculer : (\frac{3}{5} - \frac{1}{10}) + (\frac{1}{2}),1,\frac{3}{5}|\frac{4}{5}|\frac{9}{10},,flash;fractions;par_doubles,validé,fr
FR5EEN010,5e,fractions,enchaînements,impropre_mixed,QCM,3,110,Calculer : \frac{7}{6} - \frac{1}{2} + \frac{1}{3},1,\frac{5}{6}|\frac{2}{3}|\frac{7}{6},,flash;fractions;impropre_mix,validé,fr
FR5EEN011,5e,fractions,enchaînements,impropre_mixed,QCM,3,110,Calculer : \frac{5}{4} + \frac{3}{8} - \frac{1}{2},\frac{9}{8},\frac{7}{8}|\frac{5}{8}|\frac{11}{8},,flash;fractions;impropre_mix,validé,fr
FR5EEN012,5e,fractions,enchaînements,expression_mult_pas,QCM,3,120,Calculer : \frac{2}{3} × (\frac{1}{2} + \frac{1}{4}),\frac{1}{2},\frac{5}{6}|\frac{2}{7}|\frac{3}{8},,flash;fractions;mult_parenth,validé,fr
FR5EEN013,5e,fractions,enchaînements,expression_mult_pas,QCM,3,120,Calculer : (\frac{2}{5} + \frac{1}{10}) × \frac{1}{2},\frac{1}{4},\frac{3}{10}|\frac{1}{5}|\frac{2}{5},,flash;fractions;mult_parenth,validé,fr
FR5EEN014,5e,fractions,enchaînements,piege_equivalence,QCM,3,120,Calculer : \frac{1}{4} + \frac{2}{8} - \frac{1}{2},0,\frac{1}{8}|\frac{1}{4}|\frac{-1}{4},,flash;fractions;piege_equiv,validé,fr
FR5EEN015,5e,fractions,enchaînements,piege_zero,QCM,3,120,Calculer : (\frac{1}{3} - \frac{1}{3}) + \frac{5}{6},\frac{5}{6},0|\frac{1}{3}|\frac{2}{3},,flash;fractions;piege_zero,validé,fr
