"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"CL3E031","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $x(x - 4) = 0$","$x = 0$ ou $x = 4$","$x = -4$|$x = 1$|$x = 2$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E032","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(x + 3)(x - 2) = 0$","$x = -3$ ou $x = 2$","$x = 3$|$x = -2$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E033","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $2x(x + 5) = 0$","$x = 0$ ou $x = -5$","$x = 2$|$x = 5$|$x = -2$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E034","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(x - 7)(x + 1) = 0$","$x = 7$ ou $x = -1$","$x = -7$|$x = 1$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E035","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $x^2 - 9 = 0$","$x = 3$ ou $x = -3$","$x = 9$|$x = -9$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E036","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(2x - 4)(x + 2) = 0$","$x = 2$ ou $x = -2$","$x = -4$|$x = 4$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E037","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(x + 8)(x - 8) = 0$","$x = -8$ ou $x = 8$","$x = 0$|$x = 1$|$x = -1$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E038","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $x^2 = 0$","$x = 0$","$x = 2$|$x = -2$|$x = 1$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E021","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $x + 5 = 12$","$x = 7$","$x = 17$|$x = -7$|$x = 12$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E022","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $2x = 10$","$x = 5$","$x = 20$|$x = -5$|$x = 8$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E023","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $3x - 4 = 5$","$x = 3$","$x = -3$|$x = 1$|$x = 9$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E025","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $5x + 2 = 17$","$x = 3$","$x = 5$|$x = -3$|$x = 15$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E026","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $4x - 8 = 0$","$x = 2$","$x = -2$|$x = 8$|$x = 4$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E027","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $x - 7 = -2$","$x = 5$","$x = -5$|$x = 9$|$x = 2$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E028","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $2x + 3 = 11$","$x = 4$","$x = 8$|$x = -4$|$x = 14$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E030","3e","calcul_litteral","equation","calcul","QCM","2","40","Résoudre : $7x = 21$","$x = 3$","$x = 7$|$x = -3$|$x = 21$","","flash;calcul_litteral;equation","à valider","fr"
"CL3E031","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $x(x - 4) = 0$","$x = 0$ ou $x = 4$","$x = -4$|$x = 1$|$x = 2$","","flash;calcul_litteral;produit_nul","à valider","fr"
"CL3E032","3e","calcul_litteral","produit_nul","calcul","QCM","2","40","Résoudre : $(x + 3)(x - 2) = 0$","$x = -3$ ou $x = 2$","$x = 3$|$x = -2$|$x = 0$","","flash;calcul_litteral;produit_nul","à valider","fr"
