"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"FR3E021","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{3}{4} + \frac{2}{5} \times \frac{5}{8}$.","\frac{3}{4} + \frac{1}{4} = 1","\frac{5}{8}|\frac{7}{10}|\frac{9}{16}","","flash;fractions;enchainement","à valider","fr"
"FR3E022","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{7}{9} - \frac{1}{3} \times \frac{6}{7}$.","\frac{7}{9} - \frac{2}{7} = \frac{25}{63}","\frac{5}{9}|\frac{1}{3}|\frac{4}{7}","","flash;fractions;enchainement","à valider","fr"
"FR3E023","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{5}{6} + \frac{3}{4} \div \frac{2}{3}$.","\frac{5}{6} + \frac{9}{8} = \frac{49}{24}","\frac{7}{12}|\frac{11}{18}|\frac{13}{24}","","flash;fractions;enchainement","à valider","fr"
"FR3E024","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{2}{3} \times \frac{3}{5} + \frac{1}{2}$.","\frac{2}{5} + \frac{1}{2} = \frac{9}{10}","\frac{7}{10}|\frac{3}{5}|\frac{4}{7}","","flash;fractions;enchainement","à valider","fr"
"FR3E025","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{8}{9} - \frac{2}{5} \times \frac{3}{4}$.","\frac{8}{9} - \frac{3}{10} = \frac{47}{90}","\frac{5}{9}|\frac{7}{18}|\frac{11}{20}","","flash;fractions;enchainement","à valider","fr"
"FR3E026","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{5}{8} + \frac{1}{2} \div \frac{3}{4}$.","\frac{5}{8} + \frac{2}{3} = \frac{31}{24}","\frac{7}{8}|\frac{3}{4}|\frac{11}{12}","","flash;fractions;enchainement","à valider","fr"
"FR3E027","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{4}{7} + \frac{2}{3} \times \frac{9}{14}$.","\frac{4}{7} + \frac{3}{7} = 1","\frac{6}{7}|\frac{5}{7}|\frac{8}{14}","","flash;fractions;enchainement","à valider","fr"
"FR3E028","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{3}{5} - \frac{1}{2} \div \frac{2}{3}$.","\frac{3}{5} - \frac{3}{4} = -\frac{7}{20}","\frac{1}{4}|\frac{2}{5}|\frac{3}{10}","","flash;fractions;enchainement","à valider","fr"
"FR3E029","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{7}{8} + \frac{2}{5} \times \frac{5}{7}$.","\frac{7}{8} + \frac{2}{7} = \frac{73}{56}","\frac{9}{14}|\frac{5}{8}|\frac{11}{16}","","flash;fractions;enchainement","à valider","fr"
"FR3E030","3e","fractions","enchainement","calcul","QCM","2","40","Calculer $\frac{6}{11} - \frac{3}{4} \times \frac{8}{9}$.","\frac{6}{11} - \frac{2}{3} = -\frac{4}{33}","\frac{1}{11}|\frac{2}{9}|\frac{5}{22}","","flash;fractions;enchainement","à valider","fr"
"FR3E001","3e","fractions","simplification","calcul","QCM","1","30","Simplifier la fraction $\frac{12}{18}$.","\frac{2}{3}","\frac{3}{4}|\frac{6}{9}|\frac{4}{6}","","flash;fractions;simplification","à valider","fr"
"FR3E002","3e","fractions","addition","calcul","QCM","1","30","Calculer $\frac{5}{8} + \frac{1}{8}$.","\frac{3}{4}","\frac{6}{8}|\frac{5}{9}|\frac{7}{8}","","flash;fractions;addition","à valider","fr"
"FR3E003","3e","fractions","soustraction","calcul","QCM","1","30","Calculer $\frac{7}{10} - \frac{2}{10}$.","\frac{1}{2}","\frac{5}{10}|\frac{7}{12}|\frac{3}{5}","","flash;fractions;soustraction","à valider","fr"
"FR3E004","3e","fractions","multiplication","calcul","QCM","1","30","Calculer $\frac{3}{5} \times \frac{2}{3}$.","\frac{2}{5}","\frac{6}{8}|\frac{5}{6}|\frac{1}{3}","","flash;fractions;multiplication","à valider","fr"
"FR3E005","3e","fractions","division","calcul","QCM","1","30","Calculer $\frac{4}{7} \div \frac{2}{7}$.","2","\frac{2}{14}|\frac{4}{14}|\frac{7}{2}","","flash;fractions;division","à valider","fr"
"FR3E006","3e","fractions","simplification","calcul","QCM","1","30","Simplifier la fraction $\frac{15}{25}$.","\frac{3}{5}","\frac{5}{8}|\frac{6}{10}|\frac{2}{5}","","flash;fractions;simplification","à valider","fr"
"FR3E007","3e","fractions","addition","calcul","QCM","1","30","Calculer $\frac{2}{9} + \frac{4}{9}$.","\frac{2}{3}","\frac{6}{9}|\frac{4}{11}|\frac{3}{9}","","flash;fractions;addition","à valider","fr"
"FR3E008","3e","fractions","soustraction","calcul","QCM","1","30","Calculer $\frac{5}{6} - \frac{1}{3}$.","\frac{1}{2}","\frac{4}{6}|\frac{2}{3}|\frac{5}{9}","","flash;fractions;soustraction","à valider","fr"
"FR3E009","3e","fractions","multiplication","calcul","QCM","1","30","Calculer $\frac{7}{8} \times \frac{2}{7}$.","\frac{1}{4}","\frac{9}{16}|\frac{2}{8}|\frac{7}{16}","","flash;fractions;multiplication","à valider","fr"
"FR3E010","3e","fractions","division","calcul","QCM","1","30","Calculer $\frac{9}{10} \div \frac{3}{5}$.","\frac{3}{2}","\frac{6}{15}|\frac{9}{15}|\frac{5}{3}","","flash;fractions;division","à valider","fr"
"FR3E011","3e","fractions","simplification","calcul","QCM","1","30","Simplifier la fraction $\frac{18}{27}$.","\frac{2}{3}","\frac{3}{4}|\frac{6}{9}|\frac{4}{6}","","flash;fractions;simplification","à valider","fr"
"FR3E012","3e","fractions","addition","calcul","QCM","1","30","Calculer $\frac{3}{7} + \frac{2}{7}$.","\frac{5}{7}","\frac{7}{9}|\frac{2}{9}|\frac{3}{9}","","flash;fractions;addition","à valider","fr"
"FR3E013","3e","fractions","soustraction","calcul","QCM","1","30","Calculer $\frac{11}{12} - \frac{5}{12}$.","\frac{1}{2}","\frac{6}{12}|\frac{5}{6}|\frac{11}{24}","","flash;fractions;soustraction","à valider","fr"
"FR3E014","3e","fractions","multiplication","calcul","QCM","1","30","Calculer $\frac{5}{6} \times \frac{3}{5}$.","\frac{1}{2}","\frac{8}{15}|\frac{3}{6}|\frac{5}{18}","","flash;fractions;multiplication","à valider","fr"
"FR3E015","3e","fractions","division","calcul","QCM","1","30","Calculer $\frac{8}{9} \div \frac{4}{9}$.","2","\frac{4}{18}|\frac{8}{18}|\frac{9}{4}","","flash;fractions;division","à valider","fr"
"FR3E016","3e","fractions","simplification","calcul","QCM","1","30","Simplifier la fraction $\frac{21}{28}$.","\frac{3}{4}","\frac{7}{8}|\frac{6}{8}|\frac{2}{7}","","flash;fractions;simplification","à valider","fr"
"FR3E017","3e","fractions","addition","calcul","QCM","1","30","Calculer $\frac{1}{4} + \frac{3}{4}$.","1","\frac{4}{4}|\frac{3}{8}|\frac{1}{2}","","flash;fractions;addition","à valider","fr"
"FR3E018","3e","fractions","soustraction","calcul","QCM","1","30","Calculer $\frac{7}{8} - \frac{1}{2}$.","\frac{3}{8}","\frac{6}{8}|\frac{1}{4}|\frac{5}{8}","","flash;fractions;soustraction","à valider","fr"
"FR3E019","3e","fractions","multiplication","calcul","QCM","1","30","Calculer $\frac{2}{3} \times \frac{3}{4}$.","\frac{1}{2}","\frac{5}{12}|\frac{2}{4}|\frac{3}{8}","","flash;fractions;multiplication","à valider","fr"
"FR3E020","3e","fractions","division","calcul","QCM","1","30","Calculer $\frac{6}{7} \div \frac{2}{7}$.","3","\frac{2}{14}|\frac{6}{14}|\frac{7}{2}","","flash;fractions;division","à valider","fr"
