"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"PU3E035","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $9^4 \times (9^2)^{-3} / 9^{-2}$","9^{-2}","9^{2}|9^{0}|9^{-4}","","flash;puissance;calcul","à valider","fr"
"PU3E036","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $(5^3 \times 5^{-2})^2 / 5^2$","5^{2}","5^{4}|5^{1}|5^{0}","","flash;puissance;calcul","à valider","fr"
"PU3E037","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $2^7 / (2^3 \times 2^2)$","2^{2}","2^{5}|2^{7}|2^{4}","","flash;puissance;calcul","à valider","fr"
"PU3E038","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $(4^5 / 4^2)^3$","4^{9}","4^{15}|4^{3}|4^{7}","","flash;puissance;calcul","à valider","fr"
"PU3E039","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $7^6 \times (7^2)^{-2} / 7^{-3}$","7^{5}","7^{1}|7^{3}|7^{7}","","flash;puissance;calcul","à valider","fr"
"PU3E029","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $8^3 \times 8^4 / (8^3)^{-4}$","8^{11}","8^{7}|8^{-1}|8^{12}","","flash;puissance;calcul","à valider","fr"
"PU3E030","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $5^2 \times (5^3)^2 / 5^4$","5^{4}","5^{6}|5^{8}|5^{2}","","flash;puissance;calcul","à valider","fr"
"PU3E031","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $(2^4 \times 2^3)^2 / 2^5$","2^{9}","2^{14}|2^{7}|2^{12}","","flash;puissance;calcul","à valider","fr"
"PU3E032","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $3^5 / (3^2 \times 3^3)$","3^{0}","3^{1}|3^{5}|3^{-1}","","flash;puissance;calcul","à valider","fr"
"PU3E033","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $6^2 \times (6^3)^{-1} / 6^{-2}$","6^{1}","6^{3}|6^{-1}|6^{2}","","flash;puissance;calcul","à valider","fr"
"PU3E034","3e","puissance","calcul","calcul","QCM","3","50","Calculer : $(4^2 \times 4^3)^{-2} / 4^{-10}$","4^{-4}","4^{-5}|4^{4}|4^{-10}","","flash;puissance;calcul","à valider","fr"
"PU3E019","3e","puissance","calcul","calcul","QCM","1","30","Calculer : $5^4 \times 5^2$","5^{6}","5^{8}|5^{2}|5^{4}","","flash;puissance;calcul","à valider","fr"
