"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"VO3E013","3e","volumes","cylindre","calcul","QCM","2","40","Calculer le volume d'un cylindre de rayon 5 cm et hauteur 8 cm. ($\pi \approx 3,14$)","628 cm^3","125,6 cm^3|314 cm^3|400 cm^3","","flash;volumes;cylindre","à valider","fr"
"VO3E014","3e","volumes","cone","calcul","QCM","2","40","Calculer le volume d'un cône de rayon 3 cm et hauteur 12 cm. ($\pi \approx 3,14$)","113,04 cm^3","56,52 cm^3|75,36 cm^3|150,72 cm^3","","flash;volumes;cone","à valider","fr"
"VO3E015","3e","volumes","sphere","calcul","QCM","2","40","Calculer le volume d'une sphère de rayon 6 cm. ($\pi \approx 3,14$)","904,32 cm^3","452,16 cm^3|113,04 cm^3|1808,64 cm^3","","flash;volumes;sphere","à valider","fr"
"VO3E016","3e","volumes","cube","calcul","QCM","1","30","Un cube a un volume de 216 cm^3. Quelle est la longueur de son côté ?","6 cm","12 cm|36 cm|3 cm","","flash;volumes;cube","à valider","fr"
"VO3E017","3e","volumes","pave","calcul","QCM","1","30","Un pavé a un volume de 120 cm^3 et une base de 8 cm × 5 cm. Quelle est sa hauteur ?","3 cm","8 cm|5 cm|6 cm","","flash;volumes;pave","à valider","fr"
"VO3E018","3e","volumes","cylindre","calcul","QCM","2","40","Un cylindre a un volume de 157 cm^3 et une hauteur de 7 cm. Quel est son rayon ? ($\pi \approx 3,14$)","2.67 cm","3.5 cm|5 cm|7 cm","","flash;volumes;cylindre","à valider","fr"
"VO3E019","3e","volumes","cone","calcul","QCM","2","40","Un cône a un volume de 75,36 cm^3 et une hauteur de 12 cm. Quel est son rayon ? ($\pi \approx 3,14$)","3 cm","4 cm|6 cm|2 cm","","flash;volumes;cone","à valider","fr"
"VO3E020","3e","volumes","sphere","calcul","QCM","2","40","Une sphère a un volume de 904,32 cm^3. Quel est son rayon ? ($\pi \approx 3,14$)","6 cm","3 cm|9 cm|12 cm","","flash;volumes;sphere","à valider","fr"
"VO3E001","3e","volumes","cube","calcul","QCM","1","30","Calculer le volume d'un cube de côté 5 cm.","125 cm^3","25 cm^3|100 cm^3|60 cm^3","","flash;volumes;cube","à valider","fr"
"VO3E002","3e","volumes","pave","calcul","QCM","1","30","Calculer le volume d'un pavé de dimensions 4 cm, 3 cm et 2 cm.","24 cm^3","9 cm^3|12 cm^3|20 cm^3","","flash;volumes;pave","à valider","fr"
"VO3E003","3e","volumes","cylindre","calcul","QCM","2","40","Calculer le volume d'un cylindre de rayon 3 cm et hauteur 10 cm. ($\pi \approx 3,14$)","282,6 cm^3","94,2 cm^3|188,4 cm^3|314 cm^3","","flash;volumes;cylindre","à valider","fr"
"VO3E004","3e","volumes","cone","calcul","QCM","2","40","Calculer le volume d'un cône de rayon 2 cm et hauteur 9 cm. ($\pi \approx 3,14$)","37,68 cm^3","18,84 cm^3|56,52 cm^3|28,26 cm^3","","flash;volumes;cone","à valider","fr"
"VO3E005","3e","volumes","sphere","calcul","QCM","2","40","Calculer le volume d'une sphère de rayon 4 cm. ($\pi \approx 3,14$)","268,1 cm^3","201,1 cm^3|402,1 cm^3|100,5 cm^3","","flash;volumes;sphere","à valider","fr"
"VO3E006","3e","volumes","cube","calcul","QCM","1","30","Un cube a un volume de 64 cm^3. Quelle est la longueur de son côté ?","4 cm","8 cm|16 cm|2 cm","","flash;volumes;cube","à valider","fr"
"VO3E007","3e","volumes","pave","calcul","QCM","1","30","Un pavé a un volume de 60 cm^3 et une base de 5 cm × 3 cm. Quelle est sa hauteur ?","4 cm","5 cm|3 cm|6 cm","","flash;volumes;pave","à valider","fr"
"VO3E008","3e","volumes","cylindre","calcul","QCM","2","40","Un cylindre a un volume de 314 cm^3 et une hauteur de 10 cm. Quel est son rayon ? ($\pi \approx 3,14$)","3 cm","5 cm|10 cm|2 cm","","flash;volumes;cylindre","à valider","fr"
"VO3E009","3e","volumes","cone","calcul","QCM","2","40","Un cône a un volume de 18,84 cm^3 et une hauteur de 9 cm. Quel est son rayon ? ($\pi \approx 3,14$)","2 cm","3 cm|4 cm|1 cm","","flash;volumes;cone","à valider","fr"
"VO3E010","3e","volumes","sphere","calcul","QCM","2","40","Une sphère a un volume de 268,1 cm^3. Quel est son rayon ? ($\pi \approx 3,14$)","4 cm","3 cm|5 cm|6 cm","","flash;volumes;sphere","à valider","fr"
"VO3E011","3e","volumes","cube","calcul","QCM","1","30","Calculer le volume d'un cube de côté 7 cm.","343 cm^3","49 cm^3|210 cm^3|140 cm^3","","flash;volumes;cube","à valider","fr"
"VO3E012","3e","volumes","pave","calcul","QCM","1","30","Calculer le volume d'un pavé de dimensions 6 cm, 5 cm et 2 cm.","60 cm^3","30 cm^3|12 cm^3|20 cm^3","","flash;volumes;pave","à valider","fr"
