"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"NRD4E001","4e","nombres_relatifs","division","regles_signes","QCM","1","30","Calculer : (+12) ÷ (+3)","4","-4|15|-15","","flash;nombres_relatifs;division_positifs","validé","fr"
"NRD4E002","4e","nombres_relatifs","division","regles_signes","QCM","1","30","Calculer : (-20) ÷ (-4)","5","-5|16|-16","","flash;nombres_relatifs;division_negatifs","validé","fr"
"NRD4E003","4e","nombres_relatifs","division","regles_signes","QCM","1","30","Calculer : (+18) ÷ (-6)","-3","3|12|-12","","flash;nombres_relatifs;division_signes_opposes","validé","fr"
"NRD4E004","4e","nombres_relatifs","division","regles_signes","QCM","1","30","Calculer : (-35) ÷ (+7)","-5","5|28|-28","","flash;nombres_relatifs;division_signes_opposes","validé","fr"
"NRD4E005","4e","nombres_relatifs","division","decimaux","QCM","2","45","Calculer : (+7,2) ÷ (-1,8)","-4","4|5,4|-5,4","","flash;nombres_relatifs;division_decimaux","validé","fr"
"NRD4E006","4e","nombres_relatifs","division","decimaux","QCM","2","45","Calculer : (-15,6) ÷ (+3,9)","-4","4|11,7|-11,7","","flash;nombres_relatifs;division_decimaux","validé","fr"
"NRD4E007","4e","nombres_relatifs","division","decimaux","QCM","2","45","Calculer : (-8,4) ÷ (-2,1)","4","-4|6,3|-6,3","","flash;nombres_relatifs;division_decimaux","validé","fr"
"NRD4E008","4e","nombres_relatifs","division","fractions","QCM","2","60","Calculer : (+6) ÷ (-2/3)","-9","9|4|-4","","flash;nombres_relatifs;division_par_fraction","validé","fr"
"NRD4E009","4e","nombres_relatifs","division","fractions","QCM","2","60","Calculer : (-4/5) ÷ (+2)","-2/5","2/5|3/5|-3/5","","flash;nombres_relatifs;division_fraction_entier","validé","fr"
"NRD4E010","4e","nombres_relatifs","division","fractions","QCM","3","75","Calculer : (-2/3) ÷ (+4/9)","-3/2","3/2|5/6|-5/6","","flash;nombres_relatifs;division_fractions","validé","fr"
"NRD4E011","4e","nombres_relatifs","division","fractions","QCM","3","75","Calculer : (+3/4) ÷ (-6/8)","1","-1|9/8|-9/8","","flash;nombres_relatifs;division_fractions_simplifiees","validé","fr"
"NRD4E012","4e","nombres_relatifs","division","quotient_exact","QCM","2","45","Calculer : (-48) ÷ (+16)","-3","3|32|-32","","flash;nombres_relatifs;division_exacte","validé","fr"
"NRD4E013","4e","nombres_relatifs","division","quotient_decimal","QCM","2","60","Calculer : (+15) ÷ (-8)","-1,875","1,875|7|-7","","flash;nombres_relatifs;division_decimale","validé","fr"
"NRD4E014","4e","nombres_relatifs","division","quotient_decimal","QCM","2","60","Calculer : (-22) ÷ (+5)","-4,4","4,4|17|-17","","flash;nombres_relatifs;division_decimale","validé","fr"
"NRD4E015","4e","nombres_relatifs","division","puissances","QCM","2","45","Calculer : (-8) ÷ (-2)³","1","-1|10|-10","","flash;nombres_relatifs;division_puissance","validé","fr"
"NRD4E016","4e","nombres_relatifs","division","puissances","QCM","2","45","Calculer : (+27) ÷ (-3)²","3","-3|24|-24","","flash;nombres_relatifs;division_puissance","validé","fr"
"NRD4E017","4e","nombres_relatifs","division","zero","QCM","1","30","Calculer : 0 ÷ (-7)","0","7|-7|Impossible","","flash;nombres_relatifs;zero_divise","validé","fr"
"NRD4E018","4e","nombres_relatifs","division","zero","QCM","1","30","Que vaut (-5) ÷ 0 ?","Impossible","0|5|-5","","flash;nombres_relatifs;division_par_zero","validé","fr"
"NRD4E019","4e","nombres_relatifs","division","inverse","QCM","3","60","L'inverse de -4/3 est :","3/4","-3/4|4/3|-4/3","","flash;nombres_relatifs;inverse","validé","fr"
"NRD4E020","4e","nombres_relatifs","division","inverse","QCM","3","60","L'inverse de -0,25 est :","4","-4|0,75|-0,75","","flash;nombres_relatifs;inverse_decimal","validé","fr"
