"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"NRM4E001","4e","nombres_relatifs","multiplication","regles_signes","QCM","1","30","Calculer : (+5) × (+3)","15","-15|8|-8","","flash;nombres_relatifs;multiplication_positifs","validé","fr"
"NRM4E002","4e","nombres_relatifs","multiplication","regles_signes","QCM","1","30","Calculer : (-7) × (-4)","28","-28|11|-11","","flash;nombres_relatifs;multiplication_negatifs","validé","fr"
"NRM4E003","4e","nombres_relatifs","multiplication","regles_signes","QCM","1","30","Calculer : (+6) × (-8)","-48","48|14|-14","","flash;nombres_relatifs;multiplication_signes_opposes","validé","fr"
"NRM4E004","4e","nombres_relatifs","multiplication","regles_signes","QCM","1","30","Calculer : (-9) × (+5)","-45","45|14|-14","","flash;nombres_relatifs;multiplication_signes_opposes","validé","fr"
"NRM4E005","4e","nombres_relatifs","multiplication","zero","QCM","1","20","Calculer : (-12) × 0","0","12|-12|1","","flash;nombres_relatifs;multiplication_zero","validé","fr"
"NRM4E006","4e","nombres_relatifs","multiplication","un","QCM","1","20","Calculer : (+7) × (-1)","-7","7|8|-8","","flash;nombres_relatifs;multiplication_moins_un","validé","fr"
"NRM4E007","4e","nombres_relatifs","multiplication","decimaux","QCM","2","45","Calculer : (-2,5) × (+4)","-10","10|6,5|-6,5","","flash;nombres_relatifs;multiplication_decimaux","validé","fr"
"NRM4E008","4e","nombres_relatifs","multiplication","decimaux","QCM","2","45","Calculer : (+1,8) × (-3)","-5,4","5,4|4,8|-4,8","","flash;nombres_relatifs;multiplication_decimaux","validé","fr"
"NRM4E009","4e","nombres_relatifs","multiplication","produits_multiples","QCM","2","60","Calculer : (-2) × (+3) × (-5)","30","-30|10|-10","","flash;nombres_relatifs;produit_trois_facteurs","validé","fr"
"NRM4E010","4e","nombres_relatifs","multiplication","produits_multiples","QCM","2","60","Calculer : (+4) × (-1) × (-6)","24","-24|11|-11","","flash;nombres_relatifs;produit_trois_facteurs","validé","fr"
"NRM4E011","4e","nombres_relatifs","multiplication","produits_multiples","QCM","3","75","Calculer : (-1) × (-2) × (-3) × (-4)","24","-24|10|-10","","flash;nombres_relatifs;produit_quatre_facteurs","validé","fr"
"NRM4E012","4e","nombres_relatifs","multiplication","fractions","QCM","2","60","Calculer : (-1/2) × (+4)","-2","2|3,5|-3,5","","flash;nombres_relatifs;multiplication_fractions","validé","fr"
"NRM4E013","4e","nombres_relatifs","multiplication","fractions","QCM","2","60","Calculer : (+2/3) × (-9)","-6","6|7|-7","","flash;nombres_relatifs;multiplication_fractions","validé","fr"
"NRM4E014","4e","nombres_relatifs","multiplication","fractions","QCM","3","75","Calculer : (-3/4) × (+8/9)","-2/3","2/3|5/6|-5/6","","flash;nombres_relatifs;multiplication_fractions_complexes","validé","fr"
"NRM4E015","4e","nombres_relatifs","multiplication","carres","QCM","2","45","Calculer : (-5)²","25","-25|10|-10","","flash;nombres_relatifs;carre_negatif","validé","fr"
"NRM4E016","4e","nombres_relatifs","multiplication","carres","QCM","2","45","Calculer : -(6²)","-36","36|12|-12","","flash;nombres_relatifs;oppose_carre","validé","fr"
"NRM4E017","4e","nombres_relatifs","multiplication","puissances","QCM","3","60","Calculer : (-2)³","-8","8|6|-6","","flash;nombres_relatifs;puissance_cube","validé","fr"
"NRM4E018","4e","nombres_relatifs","multiplication","puissances","QCM","3","60","Calculer : (-3)⁴","81","-81|12|-12","","flash;nombres_relatifs;puissance_quatrieme","validé","fr"
"NRM4E019","4e","nombres_relatifs","multiplication","distributivite","QCM","3","90","Calculer : (-5) × (3 - 7)","20","-20|40|-40","","flash;nombres_relatifs;distributivite_simple","validé","fr"
"NRM4E020","4e","nombres_relatifs","multiplication","distributivite","QCM","3","90","Calculer : (+2) × (-4 + 9)","10","-10|6|-6","","flash;nombres_relatifs;distributivite_simple","validé","fr"
