"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"ST4E001","4e","statistiques","moyenne","calcul","QCM","1","30","Calculer la moyenne de la série : 12 ; 8 ; 15 ; 9 ; 11","11","12|10|13","","flash;statistiques;moyenne","validé","fr"
"ST4E002","4e","statistiques","mediane","calcul","QCM","1","30","Quelle est la médiane de la série : 7 ; 3 ; 9 ; 5 ; 6 ?","6","7|5|9","","flash;statistiques;mediane","validé","fr"
"ST4E003","4e","statistiques","etendue","calcul","QCM","1","30","Calculer l'étendue de la série : 14 ; 7 ; 21 ; 5 ; 12","16","19|14|21","","flash;statistiques;etendue","validé","fr"
"ST4E004","4e","statistiques","moyenne","recherche","QCM","2","45","La moyenne des notes suivantes est 13 : 11 ; 15 ; 12 ; x. Que vaut x ?","14","13|16|10","","flash;statistiques;moyenne_inverse","validé","fr"
"ST4E005","4e","statistiques","mediane","lecture","QCM","1","30","Dans une série de 7 valeurs ordonnées 4;6;7;9;12;15;20 quelle est la médiane ?","9","7|12|6","","flash;statistiques;mediane_position","validé","fr"
"ST4E006","4e","statistiques","moyenne","calcul","QCM","1","30","Calculer la moyenne de : 8 ; 12 ; 6 ; 14 ; 10","10","11|12|9","","flash;statistiques;moyenne","validé","fr"
"ST4E007","4e","statistiques","etendue","calcul","QCM","1","30","L'étendue de la série 25;18;31;22;19 est :","13","12|14|15","","flash;statistiques;etendue","validé","fr"
"ST4E008","4e","statistiques","mediane","calcul","QCM","2","45","Quelle est la médiane de 2;8;5;11;7;9 ?","7.5","8|7|6","","flash;statistiques;mediane_paire","validé","fr"
"ST4E009","4e","statistiques","moyenne","evolution","QCM","2","45","Si on ajoute la valeur 16 à la série 10;12;14 quelle devient la nouvelle moyenne ?","13","12|14|11","","flash;statistiques;moyenne_ajout","validé","fr"
"ST4E010","4e","statistiques","mediane","calcul","QCM","1","30","Dans la série 3;7;7;9;12;15 quelle est la médiane ?","8","7|9|7.5","","flash;statistiques;mediane_paire","validé","fr"
"ST4E011","4e","statistiques","etendue","calcul","QCM","1","30","Calculer l'étendue de : 45 ; 32 ; 58 ; 41 ; 29","29","26|32|27","","flash;statistiques;etendue","validé","fr"
"ST4E012","4e","statistiques","moyenne","calcul","QCM","1","30","La moyenne de 6;9;12;15 est :","10.5","11|9.5|12","","flash;statistiques;moyenne_decimale","validé","fr"
"ST4E013","4e","statistiques","mediane","ordonnement","QCM","2","45","Ordonner puis donner la médiane de : 18 ; 12 ; 24 ; 15 ; 21","18","15|21|12","","flash;statistiques;mediane_desordonnee","validé","fr"
"ST4E014","4e","statistiques","etendue","inverse","QCM","2","45","L'étendue d'une série est 17. Si la plus petite valeur est 8 que vaut la plus grande ?","25","24|23|26","","flash;statistiques;etendue_inverse","validé","fr"
"ST4E015","4e","statistiques","moyenne","calcul","QCM","1","30","Calculer la moyenne de 20 ; 16 ; 24 ; 12 ; 28","20","19|21|18","","flash;statistiques;moyenne","validé","fr"
"ST4E016","4e","statistiques","mediane","evolution","QCM","3","60","Une série a pour médiane 11. On ajoute les valeurs 8 et 14, la nouvelle médiane est :","11","12|10|13","","flash;statistiques;mediane_ajout","validé","fr"
"ST4E017","4e","statistiques","etendue","decimales","QCM","2","45","Quelle est l'étendue de la série : 2.5 ; 7.8 ; 4.2 ; 9.1 ; 3.6 ?","6.6","5.3|7.4|8.2","","flash;statistiques;etendue_decimale","validé","fr"
"ST4E018","4e","statistiques","moyenne","somme","QCM","2","45","La moyenne de 5 notes est 14. Quelle est la somme de ces 5 notes ?","70","65|75|60","","flash;statistiques;moyenne_somme","validé","fr"
"ST4E019","4e","statistiques","mediane","calcul","QCM","1","30","Dans la série 1;4;7;10;13;16 la médiane vaut :","8.5","7|10|9","","flash;statistiques;mediane_paire","validé","fr"
"ST4E020","4e","statistiques","etendue","inverse","QCM","2","45","Si l'étendue est 12 et la plus grande valeur 27 que vaut la plus petite ?","15","14|16|13","","flash;statistiques;etendue_inverse","validé","fr"
