"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"ENC5E001","5e","nombres_relatifs","enchainements","calcul","QCM","1","25","Calculer : $(-5) + 8 - 3$","$0$","$6$|$-16$|$10$","","flash;relatifs;enchainement_simple","validé","fr"
"ENC5E002","5e","nombres_relatifs","enchainements","calcul","QCM","1","30","Calculer : $7 - 12 + 4 - 1$","$-2$","$2$|$-24$|$8$","","flash;relatifs;enchainement_simple","validé","fr"
"ENC5E003","5e","nombres_relatifs","enchainements","calcul","QCM","2","35","Calculer : $(-3) + 9 - 7 + 2$","$1$","$-1$|$21$|$-17$","","flash;relatifs;enchainement_simple","validé","fr"
"ENC5E004","5e","nombres_relatifs","enchainements","calcul","QCM","2","40","Calculer : $6 - 8 + 3 - 5 + 1$","$-3$","$3$|$-23$|$13$","","flash;relatifs;enchainement_moyen","validé","fr"
"ENC5E005","5e","nombres_relatifs","enchainements","calcul","QCM","1","30","Calculer : $(-4) + 6 - 2$","$0$","$-12$|$4$|$12$","","flash;relatifs;enchainement_simple","validé","fr"
"ENC5E006","5e","nombres_relatifs","enchainements","calcul","QCM","2","35","Calculer : $10 - 15 + 2 - 1 + 4$","$0$","$-10$|$32$|$10$","","flash;relatifs;enchainement_zero","validé","fr"
"ENC5E007","5e","nombres_relatifs","parentheses","calcul","QCM","2","40","Calculer : $-(+3) + (-7)$","$-10$","$10$|$4$|$-4$","","flash;relatifs;parentheses_simples","validé","fr"
"ENC5E008","5e","nombres_relatifs","parentheses","calcul","QCM","2","45","Calculer : $(-2) - (-5) + (-3)$","$0$","$-10$|$6$|$-6$","","flash;relatifs;parentheses_soustraction","validé","fr"
"ENC5E009","5e","nombres_relatifs","parentheses","calcul","QCM","2","45","Calculer : $8 - (-4) + (-6)$","$6$","$-6$|$18$|$-2$","","flash;relatifs;parentheses_melange","validé","fr"
"ENC5E010","5e","nombres_relatifs","parentheses","calcul","QCM","3","50","Calculer : $(-1) - (-8) - (+3)$","$4$","$-4$|$12$|$-12$","","flash;relatifs;parentheses_complexes","validé","fr"
"ENC5E011","5e","nombres_relatifs","parentheses","calcul","QCM","2","40","Calculer : $7 + (-9) - (-2)$","$0$","$-4$|$4$|$18$","","flash;relatifs;parentheses_zero","validé","fr"
"ENC5E012","5e","nombres_relatifs","parentheses","calcul","QCM","3","50","Calculer : $(-6) + (-2) - (-4) + (-1)$","$-5$","$5$|$-13$|$13$","","flash;relatifs;parentheses_multiples","validé","fr"
"ENC5E013","5e","nombres_relatifs","parentheses","calcul","QCM","2","45","Calculer : $5 - (+7) + (-3) - (-1)$","$-4$","$4$|$16$|$-16$","","flash;relatifs;parentheses_variees","validé","fr"
"ENC5E014","5e","nombres_relatifs","astuce","calcul","QCM","1","30","Calculer : $(-7) + 7 + 3$","$3$","$-7$|$17$|$-3$","","flash;relatifs;opposes_annulent","validé","fr"
"ENC5E015","5e","nombres_relatifs","astuce","calcul","QCM","2","35","Calculer : $(-5) + 8 + (-3) + 2$","$2$","$-2$|$18$|$-8$","","flash;relatifs;regroupement","validé","fr"
"ENC5E016","5e","nombres_relatifs","astuce","calcul","QCM","2","40","Calculer : $6 + (-4) + (-6) + 4$","$0$","$20$|$-20$|$10$","","flash;relatifs;regroupement_zero","validé","fr"
"ENC5E017","5e","nombres_relatifs","astuce","calcul","QCM","2","35","Calculer : $(-9) + 3 + 9 + (-1)$","$2$","$-2$|$22$|$-22$","","flash;relatifs;opposes_plus_autres","validé","fr"
"ENC5E018","5e","nombres_relatifs","astuce","calcul","QCM","1","25","Calculer : $12 + (-12) + 5$","$5$","$-5$|$29$|$-29$","","flash;relatifs;opposes_simples","validé","fr"
"ENC5E019","5e","nombres_relatifs","enchainements_longs","calcul","QCM","3","60","Calculer : $(-3) + 7 - 8 + 2 - 1 + 4$","$1$","$-1$|$17$|$-17$","","flash;relatifs;enchainement_long","validé","fr"
"ENC5E020","5e","nombres_relatifs","enchainements_longs","calcul","QCM","3","65","Calculer : $5 - 9 + 3 - 6 + 2 - 1 + 8$","$2$","$-2$|$34$|$-12$","","flash;relatifs;enchainement_tres_long","validé","fr"
