"uid","level","topic","subtopic","skill","format","difficulty","time_s","stem_tex","answer_tex","distractors_tex","figure_url","tags","status","language"
"REL5E001","5e","nombres_relatifs","addition","calcul","QCM","1","20","Calculer : $(-7) + (+12)$","$5$","$-5$|$19$|$-19$","","flash;relatifs;addition","validé","fr"
"REL5E002","5e","nombres_relatifs","addition","calcul","QCM","1","20","Calculer : $(+8) + (-3)$","$5$","$-5$|$11$|$-11$","","flash;relatifs;addition","validé","fr"
"REL5E003","5e","nombres_relatifs","addition","calcul","QCM","1","25","Calculer : $(-4) + (-9)$","$-13$","$13$|$-5$|$5$","","flash;relatifs;addition","validé","fr"
"REL5E004","5e","nombres_relatifs","soustraction","calcul","QCM","2","30","Calculer : $(+6) - (+10)$","$-4$","$4$|$16$|$-16$","","flash;relatifs;soustraction","validé","fr"
"REL5E005","5e","nombres_relatifs","soustraction","calcul","QCM","2","30","Calculer : $(-5) - (+7)$","$-12$","$12$|$2$|$-2$","","flash;relatifs;soustraction","validé","fr"
"REL5E006","5e","nombres_relatifs","soustraction","calcul","QCM","2","30","Calculer : $(+3) - (-8)$","$11$","$-11$|$-5$|$5$","","flash;relatifs;soustraction","validé","fr"
"REL5E007","5e","nombres_relatifs","soustraction","calcul","QCM","2","35","Calculer : $(-9) - (-4)$","$-5$","$5$|$-13$|$13$","","flash;relatifs;soustraction","validé","fr"
"REL5E008","5e","nombres_relatifs","addition","calcul","QCM","1","20","Calculer : $15 + (-8)$","$7$","$-7$|$23$|$-23$","","flash;relatifs;addition_simplifiee","validé","fr"
"REL5E009","5e","nombres_relatifs","addition","calcul","QCM","1","20","Calculer : $-12 + 5$","$-7$","$7$|$-17$|$17$","","flash;relatifs;addition_simplifiee","validé","fr"
"REL5E010","5e","nombres_relatifs","soustraction","calcul","QCM","2","30","Calculer : $4 - (-6)$","$10$","$-10$|$-2$|$2$","","flash;relatifs;soustraction_simplifiee","validé","fr"
"REL5E011","5e","nombres_relatifs","operations_successives","calcul","QCM","2","45","Calculer : $(-3) + 7 + (-2)$","$2$","$-2$|$12$|$-12$","","flash;relatifs;operations_successives","validé","fr"
"REL5E012","5e","nombres_relatifs","operations_successives","calcul","QCM","2","45","Calculer : $8 - 5 - 6$","$-3$","$3$|$-19$|$19$","","flash;relatifs;operations_successives","validé","fr"
"REL5E013","5e","nombres_relatifs","operations_successives","calcul","QCM","3","60","Calculer : $-4 + 9 - 7 + 2$","$0$","$-18$|$18$|$22$","","flash;relatifs;operations_successives","validé","fr"
"REL5E014","5e","nombres_relatifs","addition","calcul","QCM","1","25","Calculer : $(-6) + (+6)$","$0$","$12$|$-12$|$36$","","flash;relatifs;opposes","validé","fr"
"REL5E015","5e","nombres_relatifs","comparaison","connaissance","QCM","2","30","Quel est le plus petit nombre ?","$-8$","$-3$|$0$|$5$","","flash;relatifs;comparaison","validé","fr"
"REL5E016","5e","nombres_relatifs","addition","calcul","QCM","1","20","Calculer : $0 + (-11)$","$-11$","$11$|$0$|$-22$","","flash;relatifs;element_neutre","validé","fr"
"REL5E017","5e","nombres_relatifs","soustraction","calcul","QCM","2","35","Calculer : $(-2) - (-2)$","$0$","$-4$|$4$|$-2$","","flash;relatifs;soustraction_meme","validé","fr"
"REL5E018","5e","nombres_relatifs","operations_successives","calcul","QCM","3","50","Calculer : $-1 - 3 + 8 - 2$","$2$","$-2$|$14$|$-8$","","flash;relatifs;operations_successives","validé","fr"
"REL5E019","5e","nombres_relatifs","addition","calcul","QCM","1","25","Calculer : $(-15) + (+9)$","$-6$","$6$|$-24$|$24$","","flash;relatifs;addition","validé","fr"
"REL5E020","5e","nombres_relatifs","soustraction","calcul","QCM","2","40","Calculer : $7 - 12 + 3$","$-2$","$2$|$-22$|$22$","","flash;relatifs;operations_successives","validé","fr"
